IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
NADA,KOBIETA,2
IWANNA,KOBIETA,2
ALEKSA,KOBIETA,2
ANELIYA,KOBIETA,2
KORDELIA,KOBIETA,2
DZIYANA,KOBIETA,2
SILVIA,KOBIETA,2
CAROLINA,KOBIETA,2
LIV,KOBIETA,2
NOELLE,KOBIETA,2
LUCIANA,KOBIETA,2
MILANIIA,KOBIETA,2
KLARYSA,KOBIETA,2
ARNIKA,KOBIETA,2
KIMBERLY,KOBIETA,2
MYLA,KOBIETA,2
NEIA,KOBIETA,2
ROXANA,KOBIETA,2
JÓZEFA,KOBIETA,2
YUNA,KOBIETA,2
NEOMI,KOBIETA,2
ISMENA,KOBIETA,2
LEONIE,KOBIETA,2
EMELI,KOBIETA,2
PRINCESSA,KOBIETA,2
